track,lessonId,chapterId,chapterTitleJa,chapterTitleZh,lessonIndex,lessonTitleJa,lessonTitleZh,audioRelPath
Chapter01_Section1,ch01-l01,ch01,人と人との関係,人际关系篇,1,家族,家族,resources/audio/extracted/万词对策N3/Chapter01_Section1.mp3
Chapter01_Section2,ch01-l02,ch01,人と人との関係,人际关系篇,2,友だちと知り合い,友だちと知り合い,resources/audio/extracted/万词对策N3/Chapter01_Section2.mp3
Chapter01_Section3,ch01-l03,ch01,人と人との関係,人际关系篇,3,恋人,恋人,resources/audio/extracted/万词对策N3/Chapter01_Section3.mp3
Chapter01_Section4,ch01-l04,ch01,人と人との関係,人际关系篇,4,コミュニケーション,交流,resources/audio/extracted/万词对策N3/Chapter01_Section4.mp3
Chapter01_Section5,ch01-l05,ch01,人と人との関係,人际关系篇,5,どんな人？,什么样的人？,resources/audio/extracted/万词对策N3/Chapter01_Section5.mp3
Chapter02_Section1,ch02-l01,ch02,暮らし,生活篇,1,時の表現,時の表現,resources/audio/extracted/万词对策N3/Chapter02_Section1.mp3
Chapter02_Section2,ch02-l02,ch02,暮らし,生活篇,2,食生活,食生活,resources/audio/extracted/万词对策N3/Chapter02_Section2.mp3
Chapter02_Section3,ch02-l03,ch02,暮らし,生活篇,3,料理の道具と材料,料理の道具と材料,resources/audio/extracted/万词对策N3/Chapter02_Section3.mp3
Chapter02_Section4,ch02-l04,ch02,暮らし,生活篇,4,料理の作り方,料理の作り方,resources/audio/extracted/万词对策N3/Chapter02_Section4.mp3
Chapter02_Section5,ch02-l05,ch02,暮らし,生活篇,5,家事,家事,resources/audio/extracted/万词对策N3/Chapter02_Section5.mp3
Chapter03_Section1,ch03-l01,ch03,住まい・買い物,居住消费篇,1,家,家,resources/audio/extracted/万词对策N3/Chapter03_Section1.mp3
Chapter03_Section2,ch03-l02,ch03,住まい・買い物,居住消费篇,2,お金と銀行,お金と銀行,resources/audio/extracted/万词对策N3/Chapter03_Section2.mp3
Chapter03_Section3,ch03-l03,ch03,住まい・買い物,居住消费篇,3,買い物,買い物,resources/audio/extracted/万词对策N3/Chapter03_Section3.mp3
Chapter03_Section4,ch03-l04,ch03,住まい・買い物,居住消费篇,4,朝から夜まで,朝から夜まで,resources/audio/extracted/万词对策N3/Chapter03_Section4.mp3
Chapter03_Section5,ch03-l05,ch03,住まい・買い物,居住消费篇,5,こんなことも,其他,resources/audio/extracted/万词对策N3/Chapter03_Section5.mp3
Chapter04_Section1,ch04-l01,ch04,町・交通,城市交通篇,1,町のようす,町のようす,resources/audio/extracted/万词对策N3/Chapter04_Section1.mp3
Chapter04_Section2,ch04-l02,ch04,町・交通,城市交通篇,2,町を歩く,町を歩く,resources/audio/extracted/万词对策N3/Chapter04_Section2.mp3
Chapter04_Section3,ch04-l03,ch04,町・交通,城市交通篇,3,電車と新幹線,電車と新幹線,resources/audio/extracted/万词对策N3/Chapter04_Section3.mp3
Chapter04_Section4,ch04-l04,ch04,町・交通,城市交通篇,4,バス,バス,resources/audio/extracted/万词对策N3/Chapter04_Section4.mp3
Chapter04_Section5,ch04-l05,ch04,町・交通,城市交通篇,5,運転する,運転する,resources/audio/extracted/万词对策N3/Chapter04_Section5.mp3
Chapter05_Section1,ch05-l01,ch05,学校・勉強,学校学习篇,1,学校,学校,resources/audio/extracted/万词对策N3/Chapter05_Section1.mp3
Chapter05_Section2,ch05-l02,ch05,学校・勉強,学校学习篇,2,勉強,勉強,resources/audio/extracted/万词对策N3/Chapter05_Section2.mp3
Chapter05_Section3,ch05-l03,ch05,学校・勉強,学校学习篇,3,日本の大学,日本の大学,resources/audio/extracted/万词对策N3/Chapter05_Section3.mp3
Chapter05_Section4,ch05-l04,ch05,学校・勉強,学校学习篇,4,試験,試験,resources/audio/extracted/万词对策N3/Chapter05_Section4.mp3
Chapter05_Section5,ch05-l05,ch05,学校・勉強,学校学习篇,5,もっとがんばれ！,继续加油！,resources/audio/extracted/万词对策N3/Chapter05_Section5.mp3
Chapter06_Section1,ch06-l01,ch06,会社・仕事,公司工作篇,1,就職,就職,resources/audio/extracted/万词对策N3/Chapter06_Section1.mp3
Chapter06_Section2,ch06-l02,ch06,会社・仕事,公司工作篇,2,会社,会社,resources/audio/extracted/万词对策N3/Chapter06_Section2.mp3
Chapter06_Section3,ch06-l03,ch06,会社・仕事,公司工作篇,3,上下関係,上下関係,resources/audio/extracted/万词对策N3/Chapter06_Section3.mp3
Chapter06_Section4,ch06-l04,ch06,会社・仕事,公司工作篇,4,どんな仕事？,什么样的工作？,resources/audio/extracted/万词对策N3/Chapter06_Section4.mp3
Chapter06_Section5,ch06-l05,ch06,会社・仕事,公司工作篇,5,パソコンで,电脑,resources/audio/extracted/万词对策N3/Chapter06_Section5.mp3
Chapter07_Section1,ch07-l01,ch07,旅行・趣味,旅行兴趣篇,1,旅行,旅行,resources/audio/extracted/万词对策N3/Chapter07_Section1.mp3
Chapter07_Section2,ch07-l02,ch07,旅行・趣味,旅行兴趣篇,2,スポーツ,スポーツ,resources/audio/extracted/万词对策N3/Chapter07_Section2.mp3
Chapter07_Section3,ch07-l03,ch07,旅行・趣味,旅行兴趣篇,3,ファッション,ファッション,resources/audio/extracted/万词对策N3/Chapter07_Section3.mp3
Chapter07_Section4,ch07-l04,ch07,旅行・趣味,旅行兴趣篇,4,おしゃれ,おしゃれ,resources/audio/extracted/万词对策N3/Chapter07_Section4.mp3
Chapter07_Section5,ch07-l05,ch07,旅行・趣味,旅行兴趣篇,5,趣味,趣味,resources/audio/extracted/万词对策N3/Chapter07_Section5.mp3
Chapter08_Section1,ch08-l01,ch08,体・健康,身体健康篇,1,体,体,resources/audio/extracted/万词对策N3/Chapter08_Section1.mp3
Chapter08_Section2,ch08-l02,ch08,体・健康,身体健康篇,2,何のサイン？,何のサイン？,resources/audio/extracted/万词对策N3/Chapter08_Section2.mp3
Chapter08_Section3,ch08-l03,ch08,体・健康,身体健康篇,3,症状,症状,resources/audio/extracted/万词对策N3/Chapter08_Section3.mp3
Chapter08_Section4,ch08-l04,ch08,体・健康,身体健康篇,4,大丈夫？,大丈夫？,resources/audio/extracted/万词对策N3/Chapter08_Section4.mp3
Chapter08_Section5,ch08-l05,ch08,体・健康,身体健康篇,5,病院,病院,resources/audio/extracted/万词对策N3/Chapter08_Section5.mp3
Chapter09_Section1,ch09-l01,ch09,自然・天気,自然天气篇,1,自然,自然,resources/audio/extracted/万词对策N3/Chapter09_Section1.mp3
Chapter09_Section2,ch09-l02,ch09,自然・天気,自然天气篇,2,明日の天気,明日の天気,resources/audio/extracted/万词对策N3/Chapter09_Section2.mp3
Chapter09_Section3,ch09-l03,ch09,自然・天気,自然天气篇,3,暑い日と寒い日,暑い日と寒い日,resources/audio/extracted/万词对策N3/Chapter09_Section3.mp3
Chapter09_Section4,ch09-l04,ch09,自然・天気,自然天气篇,4,どう変わる？,怎么变化？,resources/audio/extracted/万词对策N3/Chapter09_Section4.mp3
Chapter09_Section5,ch09-l05,ch09,自然・天気,自然天气篇,5,日本の１年,日本の１年,resources/audio/extracted/万词对策N3/Chapter09_Section5.mp3
Chapter10_Section1,ch10-l01,ch10,ニュース・トラブル,新闻纠纷篇,1,マスコミ,媒体,resources/audio/extracted/万词对策N3/Chapter10_Section1.mp3
Chapter10_Section2,ch10-l02,ch10,ニュース・トラブル,新闻纠纷篇,2,事件,事件,resources/audio/extracted/万词对策N3/Chapter10_Section2.mp3
Chapter10_Section3,ch10-l03,ch10,ニュース・トラブル,新闻纠纷篇,3,気をつけよう!,小心!,resources/audio/extracted/万词对策N3/Chapter10_Section3.mp3
Chapter10_Section4,ch10-l04,ch10,ニュース・トラブル,新闻纠纷篇,4,トラブル,遇上麻烦,resources/audio/extracted/万词对策N3/Chapter10_Section4.mp3
Chapter10_Section5,ch10-l05,ch10,ニュース・トラブル,新闻纠纷篇,5,データ,数据,resources/audio/extracted/万词对策N3/Chapter10_Section5.mp3
Chapter11_Section1,ch11-l01,ch11,気持ち・様子,心情印象篇,1,性格,性格,resources/audio/extracted/万词对策N3/Chapter11_Section1.mp3
Chapter11_Section2,ch11-l02,ch11,気持ち・様子,心情印象篇,2,うれしい気持ち,うれしい気持ち,resources/audio/extracted/万词对策N3/Chapter11_Section2.mp3
Chapter11_Section3,ch11-l03,ch11,気持ち・様子,心情印象篇,3,ブルーな気分,ブルーな気分,resources/audio/extracted/万词对策N3/Chapter11_Section3.mp3
Chapter11_Section4,ch11-l04,ch11,気持ち・様子,心情印象篇,4,どんな感じ？,どんな感じ？,resources/audio/extracted/万词对策N3/Chapter11_Section4.mp3
Chapter11_Section5,ch11-l05,ch11,気持ち・様子,心情印象篇,5,複雑な気持ち,複雑な気持ち,resources/audio/extracted/万词对策N3/Chapter11_Section5.mp3
Chapter12_Section1,ch12-l01,ch12,イメージ・社会,印象社会篇,1,デザイン,设计,resources/audio/extracted/万词对策N3/Chapter12_Section1.mp3
Chapter12_Section2,ch12-l02,ch12,イメージ・社会,印象社会篇,2,人のイメージ,描述人,resources/audio/extracted/万词对策N3/Chapter12_Section2.mp3
Chapter12_Section3,ch12-l03,ch12,イメージ・社会,印象社会篇,3,物のイメージ,描述物体,resources/audio/extracted/万词对策N3/Chapter12_Section3.mp3
Chapter12_Section4,ch12-l04,ch12,イメージ・社会,印象社会篇,4,私たちの社会,我们的社会,resources/audio/extracted/万词对策N3/Chapter12_Section4.mp3
Chapter12_Section5,ch12-l05,ch12,イメージ・社会,印象社会篇,5,国際社会,国际社会,resources/audio/extracted/万词对策N3/Chapter12_Section5.mp3
